0.504135	0.0459938
0.498817	0.0507388
0.537941	0.015389
0.519052	0.0328738
0.556961	-0.0029984
0.577116	-0.0234716
0.597555	-0.0449885
0.618296	-0.0675041
0.638848	-0.0903215
0.659313	-0.113189
0.679607	-0.135613
0.699759	-0.157171
0.719759	-0.177295
0.739759	-0.19553
0.498817	0.0507388
0.479649	0.0662093
0.460065	0.0808084
0.440585	0.094371
0.421058	0.106922
0.401184	0.118462
0.381046	0.128933
0.360841	0.138249
0.340609	0.146394
0.320383	0.153347
0.300241	0.159065
0.280241	0.163521
0.260241	0.166699
0.240241	0.168507
0.220241	0.168819
0.200241	0.167474
0.180248	0.16427
0.160239	0.158955
0.140234	0.151241
0.120241	0.140803
0.100241	0.127268
0.0802412	0.110259
0.0602411	0.0893951
0.739759	-0.19553
0.759759	-0.211163
0.779759	-0.22342
0.799759	-0.231479
0.819759	-0.234514
0.839759	-0.231765
0.859759	-0.222619
0.879759	-0.206708
0.899759	-0.184022
0.919758	-0.155004
0.939759	-0.120595
0.959759	-0.0821904
0.979758	-0.0415511
1	0
0.519052	0.0328738
0.504135	0.0459938
0.0602411	0.0893951
0.0402408	0.0643219
0.0202418	0.0347438
1.66568e-15	0
